,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
8611,Negative,Neutral,False,0.33612985687883473,0.3373972003842993,0.32647294273686595
6366,Neutral,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
5012,Positive,Positive,True,0.3249375979613494,0.3196195471198823,0.3554428549187682
4660,Positive,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
6425,Positive,Neutral,False,0.3250898786212276,0.3502193194026074,0.324690801976165
294,Negative,Positive,False,0.31625700925287115,0.3192920331603514,0.36445095758677754
8572,Positive,Neutral,False,0.3252445603213569,0.33895771317981127,0.3357977264988318
7924,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
1718,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
4155,Negative,Negative,True,0.3445420198395646,0.3311914725131897,0.32426650764724557
7540,Positive,Positive,True,0.3252100840904162,0.33120971541500444,0.3435802004945793
408,Negative,Negative,True,0.34448841324982094,0.3198201864424685,0.33569140030771055
3751,Neutral,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
1803,Positive,Neutral,False,0.33610894756681237,0.33905039732806225,0.32484065510512533
3466,Positive,Positive,True,0.3162075263057713,0.330093909235492,0.35369856445873676
9144,Neutral,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
5519,Neutral,Neutral,True,0.31680347493850647,0.35932122538561245,0.3238752996758811
9068,Negative,Negative,True,0.3444792468969206,0.31929328894876846,0.33622746415431093
1861,Positive,Positive,True,0.3252032692346122,0.3306659233061751,0.3441308074592127
6970,Positive,Neutral,False,0.3170680234027999,0.3468799387363262,0.3360520378608739
9301,Positive,Neutral,False,0.31680347493850647,0.35932122538561245,0.3238752996758811
6761,Negative,Neutral,False,0.31704238326101586,0.34902325252717353,0.3339343642118106
2072,Neutral,Negative,False,0.3444792468969206,0.31929328894876846,0.33622746415431093
4472,Positive,Positive,True,0.3252100840904162,0.33120971541500444,0.3435802004945793
9070,Negative,Positive,False,0.32492239299909415,0.31919237632746833,0.3558852306734376
9873,Positive,Neutral,False,0.31603179717644725,0.3601256874690974,0.32384251535445535
2874,Neutral,Neutral,True,0.32507612750978965,0.3507730786578945,0.3241507938323158
3885,Positive,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
9613,Negative,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
9789,Neutral,Neutral,True,0.3357096030647907,0.3406956938206078,0.3235947031146015
6027,Neutral,Neutral,True,0.3170634122797053,0.347322858778486,0.3356137289418087
2007,Neutral,Neutral,True,0.316654239443571,0.35070425928191945,0.33264150127450953
8857,Positive,Neutral,False,0.3252457039894746,0.33852172787895674,0.3362325681315686
3554,Negative,Neutral,False,0.3247449922487129,0.3604416857724742,0.31481332197881284
1917,Negative,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
4214,Neutral,Negative,False,0.3445455932698298,0.33065806870077585,0.3247963380293943
3308,Positive,Positive,True,0.3165749553044499,0.32878706119569495,0.35463798349985504
5124,Neutral,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
9757,Negative,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
2558,Neutral,Positive,False,0.3170628281388673,0.3355605484496752,0.3473766234114575
9514,Positive,Neutral,False,0.3170634122797053,0.347322858778486,0.3356137289418087
4855,Negative,Positive,False,0.306704622824316,0.33984468184261535,0.3534506953330686
6858,Negative,Positive,False,0.32449928950811785,0.3099097535212575,0.3655909569706247
5793,Negative,Neutral,False,0.31704238326101586,0.34902325252717353,0.3339343642118106
677,Positive,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
1235,Positive,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
5857,Negative,Neutral,False,0.316654239443571,0.35070425928191945,0.33264150127450953
9647,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
3447,Positive,Neutral,False,0.3250898786212276,0.3502193194026074,0.324690801976165
769,Positive,Positive,True,0.32449928950811785,0.3099097535212575,0.3655909569706247
7072,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
7800,Neutral,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
8570,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
634,Negative,Positive,False,0.31672233201848404,0.33878854858616736,0.34448911939534854
6283,Negative,Negative,True,0.3352800780831013,0.33463421299381907,0.3300857089230796
63,Neutral,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
7969,Negative,Neutral,False,0.3154456076561925,0.3506748430507232,0.3338795492930843
2998,Neutral,Positive,False,0.31672291888195697,0.3389015486447293,0.34437553247331376
299,Positive,Positive,True,0.32499254082933754,0.3212599289331419,0.3537475302375205
6452,Neutral,Neutral,True,0.31519164348659257,0.36100292401634315,0.3238054324970643
6289,Positive,Positive,True,0.31563777761346573,0.30787556955229,0.37648665283424426
2992,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
5542,Neutral,Positive,False,0.32517939494301434,0.32903843140728445,0.34578217364970126
6163,Neutral,Positive,False,0.32492239299909415,0.31919237632746833,0.3558852306734376
7814,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
6782,Neutral,Neutral,True,0.323926359622749,0.3507727996077726,0.3253008407694785
4232,Negative,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
6026,Positive,Positive,True,0.3249375979613494,0.3196195471198823,0.3554428549187682
5266,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
7472,Neutral,Positive,False,0.3442249951923925,0.3101828324296707,0.3455921723779367
8432,Positive,Neutral,False,0.3154691895061502,0.3489693440573358,0.33556146643651397
317,Negative,Positive,False,0.3249414462656232,0.3197293476687173,0.3553292060656595
9615,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
3154,Negative,Positive,False,0.3244932854505125,0.30980126204260666,0.3657054525068809
